"","team","seed","score","point_diff","result"
"1","Wichita State",1,64,27,1
"2","Cal Poly",16,37,-27,0
"3","Kentucky",8,56,7,1
"4","Kansas State",9,49,-7,0
"5","Saint Louis",5,83,3,1
"6","North Carolina State",12,80,-3,0
"7","Louisville",4,71,7,1
"8","Manhattan",13,64,-7,0
"9","UMass",6,67,-19,0
"10","Tennessee",11,86,19,1
"11","Duke",3,71,-7,0
"12","Mercer",14,78,7,1
"13","Texas",7,87,2,1
"14","Arizona State",10,85,-2,0
"15","Michigan",2,57,17,1
"16","Wofford",15,40,-17,0
"17","Arizona",1,68,9,1
"18","Weber State",16,59,-9,0
"19","Gonzaga",8,85,8,1
"20","Oklahoma State",9,77,-8,0
"21","Oklahoma",5,75,-5,0
"22","North Dakota State",12,80,5,1
"23","San Diego State",4,73,4,1
"24","New Mexico State",13,69,-4,0
"25","Baylor",6,74,14,1
"26","Nebraska",11,60,-14,0
"27","Creighton",3,76,10,1
"28","Louisiana-Lafayette",14,66,-10,0
"29","Oregon",7,87,19,1
"30","BYU",10,68,-19,0
"31","Wisconsin",2,75,40,1
"32","American",15,35,-40,0
"33","Virginia",1,70,11,1
"34","Coastal Carolina",16,59,-11,0
"35","Memphis",8,71,5,1
"36","George Washington",9,66,-5,0
"37","Cincinnati",5,57,-4,0
"38","Harvard",12,61,4,1
"39","Michigan State",4,93,15,1
"40","Delaware",13,78,-15,0
"41","UNC",6,79,2,1
"42","Providence",11,77,-2,0
"43","Iowa State",3,93,18,1
"44","North Carolina Central",14,75,-18,0
"45","UConn",7,89,8,1
"46","St. Joseph's",10,81,-8,0
"47","Villanova",2,73,20,1
"48","Milwaukee",15,53,-20,0
"49","Florida",1,67,12,1
"50","Albany (NY)",16,55,-12,0
"51","Colorado",8,48,-29,0
"52","Pitt",9,77,29,1
"53","VCU",5,75,-2,0
"54","Stephen F. Austin",12,77,2,1
"55","UCLA",4,76,17,1
"56","Tulsa",13,59,-17,0
"57","Ohio State",6,59,-1,0
"58","Dayton",11,60,1,1
"59","Syracuse",3,77,24,1
"60","Western Michigan",14,53,-24,0
"61","New Mexico",7,53,-5,0
"62","Stanford",10,58,5,1
"63","Kansas",2,80,11,1
"64","Eastern Kentucky",15,69,-11,0
